date_report,province,c_daily,c_cum,d_daily,d_pum
2020-01-25,Ontario,1,1,0,0
2020-01-27,Ontario,1,2,0,0
2020-01-28,British Columbia,1,1,0,0
2020-01-31,Ontario,1,3,0,0
2020-02-04,British Columbia,1,2,0,0
2020-02-06,British Columbia,2,4,0,0
2020-02-14,British Columbia,1,5,0,0
2020-02-20,British Columbia,1,6,0,0
2020-02-23,Ontario,1,4,0,0
2020-02-24,British Columbia,1,7,0,0
2020-02-26,Ontario,1,5,0,0
2020-02-27,Ontario,1,6,0,0
2020-02-27,Quebec,1,1,0,0
2020-02-28,Ontario,2,8,0,0
2020-02-29,British Columbia,1,8,0,0
2020-02-29,Ontario,3,11,0,0
2020-03-01,Ontario,4,15,0,0
2020-03-03,British Columbia,4,12,0,0
2020-03-03,Ontario,5,20,0,0
2020-03-04,British Columbia,1,13,0,0
2020-03-05,Alberta,1,1,0,0
2020-03-05,British Columbia,8,21,0,0
2020-03-05,Ontario,2,22,0,0
2020-03-05,Quebec,1,2,0,0
2020-03-06,Alberta,1,2,0,0
2020-03-06,Ontario,6,28,0,0
2020-03-06,Quebec,1,3,0,0
2020-03-07,British Columbia,6,27,0,0
2020-03-08,Alberta,2,4,0,0
2020-03-08,British Columbia,0,0,1,1
2020-03-08,Ontario,4,32,0,0
2020-03-08,Quebec,1,4,0,0
2020-03-09,Alberta,10,14,0,0
2020-03-09,British Columbia,5,32,0,0
2020-03-09,Ontario,3,35,0,0
2020-03-09,Quebec,1,5,0,0
2020-03-10,British Columbia,7,39,0,0
2020-03-10,Ontario,2,37,0,0
2020-03-11,Alberta,5,19,0,0
2020-03-11,British Columbia,7,46,0,0
2020-03-11,Ontario,5,42,1,1
2020-03-11,Quebec,3,8,0,0
2020-03-11,Repatriated,1,1,0,0
2020-03-12,Alberta,4,23,0,0
2020-03-12,British Columbia,7,53,0,0
2020-03-12,Manitoba,1,1,0,0
2020-03-12,New Brunswick,1,1,0,0
2020-03-12,Ontario,17,59,0,0
2020-03-12,Quebec,9,17,0,0
2020-03-12,Saskatchewan,1,1,0,0
2020-03-13,Alberta,6,29,0,0
2020-03-13,British Columbia,11,64,0,0
2020-03-13,Manitoba,3,4,0,0
2020-03-13,Ontario,20,79,0,0
2020-03-13,Repatriated,1,2,0,0
2020-03-13,Saskatchewan,1,2,0,0
2020-03-14,Alberta,10,39,0,0
2020-03-14,British Columbia,9,73,0,0
2020-03-14,New Brunswick,1,2,0,0
2020-03-14,Newfoundland and Labrador,1,1,0,0
2020-03-14,Ontario,24,103,0,0
2020-03-14,Prince Edward Island,1,1,0,0
2020-03-14,Quebec,7,24,0,0
2020-03-14,Repatriated,2,4,0,0
2020-03-14,Saskatchewan,4,6,0,0
2020-03-15,Alberta,17,56,0,0
2020-03-15,Manitoba,3,7,0,0
2020-03-15,New Brunswick,4,6,0,0
2020-03-15,Nova Scotia,3,3,0,0
2020-03-15,Ontario,42,145,0,0
2020-03-15,Quebec,15,39,0,0
2020-03-16,Alberta,18,74,0,0
2020-03-16,British Columbia,30,103,3,4
2020-03-16,Manitoba,1,8,0,0
2020-03-16,New Brunswick,1,7,0,0
2020-03-16,Nova Scotia,2,5,0,0
2020-03-16,Ontario,32,177,0,0
2020-03-16,Quebec,11,50,0,0
2020-03-16,Repatriated,4,8,0,0
2020-03-16,Saskatchewan,1,7,0,0
2020-03-17,Alberta,23,97,0,0
2020-03-17,British Columbia,83,186,3,7
2020-03-17,Manitoba,7,15,0,0
2020-03-17,New Brunswick,1,8,0,0
2020-03-17,Newfoundland and Labrador,2,3,0,0
2020-03-17,Nova Scotia,2,7,0,0
2020-03-17,Ontario,12,189,0,0
2020-03-17,Quebec,24,74,0,0
2020-03-17,Repatriated,1,9,0,0
2020-03-17,Saskatchewan,1,8,0,0
2020-03-18,Alberta,22,119,0,0
2020-03-18,British Columbia,45,231,0,0
2020-03-18,Manitoba,2,17,0,0
2020-03-18,New Brunswick,3,11,0,0
2020-03-18,Nova Scotia,5,12,0,0
2020-03-18,Ontario,25,214,0,0
2020-03-18,Quebec,20,94,1,1
2020-03-18,Saskatchewan,8,16,0,0
2020-03-19,Alberta,27,146,1,1
2020-03-19,British Columbia,40,271,1,8
2020-03-19,Nova Scotia,2,14,0,0
2020-03-19,Ontario,44,258,1,2
2020-03-19,Prince Edward Island,1,2,0,0
2020-03-19,Quebec,27,121,0,0
2020-03-19,Repatriated,1,10,0,0
2020-03-19,Saskatchewan,4,20,0,0
2020-03-20,Alberta,49,195,0,0
2020-03-20,British Columbia,77,348,1,9
