"date_report","c_daily","d_daily","r_cum","t_cum","c_cum","d_cum","a_cum","r_lag","r_daily"
2020-01-25,1,0,0,0,1,0,1,0,0
2020-01-26,0,0,0,0,1,0,1,0,0
2020-01-27,1,0,0,0,2,0,2,0,0
2020-01-28,1,0,0,0,3,0,3,0,0
2020-01-29,0,0,0,0,3,0,3,0,0
2020-01-30,0,0,0,0,3,0,3,0,0
2020-01-31,1,0,0,0,4,0,4,0,0
2020-02-01,0,0,0,0,4,0,4,0,0
2020-02-02,0,0,0,0,4,0,4,0,0
2020-02-03,0,0,0,0,4,0,4,0,0
2020-02-04,1,0,0,0,5,0,5,0,0
2020-02-05,0,0,0,0,5,0,5,0,0
2020-02-06,2,0,0,0,7,0,7,0,0
2020-02-07,0,0,0,0,7,0,7,0,0
2020-02-08,0,0,0,0,7,0,7,0,0
2020-02-09,0,0,0,0,7,0,7,0,0
2020-02-10,0,0,0,0,7,0,7,0,0
2020-02-11,0,0,0,0,7,0,7,0,0
2020-02-12,0,0,1,0,7,0,6,0,1
2020-02-13,0,0,1,0,7,0,6,1,0
2020-02-14,1,0,1,0,8,0,7,1,0
2020-02-15,0,0,1,0,8,0,7,1,0
2020-02-16,0,0,1,0,8,0,7,1,0
2020-02-17,0,0,1,0,8,0,7,1,0
2020-02-18,0,0,1,0,8,0,7,1,0
2020-02-19,0,0,2,0,8,0,6,1,1
2020-02-20,1,0,3,0,9,0,6,2,1
2020-02-21,0,0,4,0,9,0,5,3,1
2020-02-22,0,0,4,0,9,0,5,4,0
2020-02-23,1,0,4,0,10,0,6,4,0
2020-02-24,1,0,4,0,11,0,7,4,0
2020-02-25,0,0,7,0,11,0,4,4,3
2020-02-26,1,0,7,0,12,0,5,7,0
2020-02-27,2,0,7,0,14,0,7,7,0
2020-02-28,2,0,7,0,16,0,9,7,0
2020-02-29,4,0,7,0,20,0,13,7,0
2020-03-01,4,0,7,0,24,0,17,7,0
2020-03-02,0,0,7,0,24,0,17,7,0
2020-03-03,9,0,7,0,33,0,26,7,0
2020-03-04,1,0,7,0,34,0,27,7,0
2020-03-05,12,0,8,0,46,0,38,7,1
2020-03-06,8,0,8,0,54,0,46,8,0
2020-03-07,6,0,8,0,60,0,52,8,0
2020-03-08,7,1,8,0,67,1,58,8,0
2020-03-09,19,0,9,0,86,1,76,8,1
2020-03-10,9,0,9,0,95,1,85,9,0
2020-03-11,21,1,9,0,116,2,105,9,0
2020-03-12,40,0,9,0,156,2,145,9,0
2020-03-13,42,0,10,0,198,2,186,9,1
2020-03-14,59,0,10,0,257,2,245,10,0
2020-03-15,84,0,10,23752,341,2,329,10,0
2020-03-16,100,3,10,37878,441,5,426,10,0
2020-03-17,156,3,10,43611,597,8,579,10,0
2020-03-18,130,1,11,51436,727,9,707,10,1
2020-03-19,146,3,13,59670,873,12,848,11,2
2020-03-20,214,1,15,78525,1087,13,1059,13,2
2020-03-21,244,5,16,91741,1331,18,1297,15,1
2020-03-22,140,3,18,106162,1471,21,1432,16,2
2020-03-23,620,3,112,114205,2091,24,1955,18,94
2020-03-24,728,3,186,124345,2819,27,2606,112,74
2020-03-25,590,8,198,152135,3409,35,3176,186,12
2020-03-26,634,4,229,166788,4043,39,3775,198,31
2020-03-27,714,16,356,180746,4757,55,4346,229,127
2020-03-28,898,6,505,202458,5655,61,5089,356,149
2020-03-29,665,5,589,219772,6320,66,5665,505,84
2020-03-30,1128,24,1122,233949,7448,90,6236,589,533
2020-03-31,1143,36,1306,250628,8591,126,7159,1122,184
2020-04-01,1599,19,1676,268290,10190,145,8369,1306,370
2020-04-02,1588,25,1981,286155,11778,170,9627,1676,305
2020-04-03,1202,53,2335,307904,12980,223,10422,1981,354
2020-04-04,1429,49,2748,324793,14409,272,11389,2335,413
2020-04-05,1506,30,3113,336472,15915,302,12500,2748,365
2020-04-06,1250,51,3629,349677,17165,353,13183,3113,516
2020-04-07,1397,64,4063,360896,18562,417,14082,3629,434
2020-04-08,1291,55,4666,374741,19853,472,14715,4063,603
2020-04-09,1550,69,5324,389125,21403,541,15538,4666,658
2020-04-10,1312,74,6026,402908,22715,615,16074,5324,702
2020-04-11,1247,74,6663,416487,23962,689,16610,6026,637
2020-04-12,1098,56,7185,431495,25060,745,17130,6663,522
2020-04-13,1368,76,7771,449206,26428,821,17836,7185,586
2020-04-14,1460,145,8248,467637,27888,966,18674,7771,477
2020-04-15,1346,104,8992,483924,29234,1070,19172,8248,744
2020-04-16,1732,179,9725,502808,30966,1249,19992,8992,733
2020-04-17,1883,116,10556,528714,32849,1365,20928,9725,831
2020-04-18,1530,162,11220,550360,34379,1527,21632,10556,664
2020-04-19,1634,109,11856,572043,36013,1636,22521,11220,636
2020-04-20,1843,121,12599,594742,37856,1757,23500,11856,743
2020-04-21,1531,152,13201,614340,39387,1909,24277,12599,602
2020-04-22,1970,163,13999,639747,41357,2072,25286,13201,798
2020-04-23,1863,160,14774,663418,43220,2232,26214,13999,775
2020-04-24,1623,157,15554,688716,44843,2389,26900,14774,780
2020-04-25,1419,163,16438,711254,46262,2552,27272,15554,884
2020-04-26,1587,118,17334,734824,47849,2670,27845,16438,896
2020-04-27,1632,147,18281,765056,49481,2817,28383,17334,947
2020-04-28,1466,141,19244,787612,50947,2958,28745,18281,963
2020-04-29,1690,175,20340,814518,52637,3133,29164,19244,1096
2020-04-30,1574,145,21437,840010,54211,3278,29496,20340,1097
2020-05-01,1956,229,22764,872240,56167,3507,29896,21437,1327
2020-05-02,1578,147,23814,903994,57745,3654,30277,22764,1050
2020-05-03,2562,114,24921,933142,60307,3768,31618,23814,1107
2020-05-04,1484,212,26030,966019,61791,3980,31781,24921,1109
2020-05-05,1268,187,27006,986576,63059,4167,31886,26030,976
