"date_report","province","c_daily","c_cum","d_daily","d_cum","r_cum","t_cum"
2020-01-25,"Alberta",0,0,0,0,0,0
2020-01-25,"British Columbia",0,0,0,0,0,0
2020-01-25,"Manitoba",0,0,0,0,0,0
2020-01-25,"New Brunswick",0,0,0,0,0,0
2020-01-25,"Newfoundland and Labrador",0,0,0,0,0,0
2020-01-25,"NorthWest",0,0,0,0,0,0
2020-01-25,"Nova Scotia",0,0,0,0,0,0
2020-01-25,"Nunavut",0,0,0,0,0,0
2020-01-25,"Ontario",1,1,0,0,0,0
2020-01-25,"Prince Edward Island",0,0,0,0,0,0
2020-01-25,"Quebec",0,0,0,0,0,0
2020-01-25,"Repatriated",0,0,0,0,0,0
2020-01-25,"Saskatchewan",0,0,0,0,0,0
2020-01-25,"Yukon",0,0,0,0,0,0
2020-01-26,"Alberta",0,0,0,0,0,0
2020-01-26,"British Columbia",0,0,0,0,0,0
2020-01-26,"Manitoba",0,0,0,0,0,0
2020-01-26,"New Brunswick",0,0,0,0,0,0
2020-01-26,"Newfoundland and Labrador",0,0,0,0,0,0
2020-01-26,"NorthWest",0,0,0,0,0,0
2020-01-26,"Nova Scotia",0,0,0,0,0,0
2020-01-26,"Nunavut",0,0,0,0,0,0
2020-01-26,"Ontario",0,1,0,0,0,0
2020-01-26,"Prince Edward Island",0,0,0,0,0,0
2020-01-26,"Quebec",0,0,0,0,0,0
2020-01-26,"Repatriated",0,0,0,0,0,0
2020-01-26,"Saskatchewan",0,0,0,0,0,0
2020-01-26,"Yukon",0,0,0,0,0,0
2020-01-27,"Alberta",0,0,0,0,0,0
2020-01-27,"British Columbia",0,0,0,0,0,0
2020-01-27,"Manitoba",0,0,0,0,0,0
2020-01-27,"New Brunswick",0,0,0,0,0,0
2020-01-27,"Newfoundland and Labrador",0,0,0,0,0,0
2020-01-27,"NorthWest",0,0,0,0,0,0
2020-01-27,"Nova Scotia",0,0,0,0,0,0
2020-01-27,"Nunavut",0,0,0,0,0,0
