"it","index","us","can","uk","ge","sw","sp","au"
155,1,104,116,116,130,114,120,107
229,2,174,156,164,159,214,165,128
322,3,222,198,207,196,268,222,128
453,4,337,257,274,262,337,259,200
655,5,451,341,322,482,374,400,250
888,6,519,441,384,670,491,500,297
1128,7,711,597,459,799,652,673,377
1694,8,1109,727,459,1040,652,1073,452
2036,9,1561,873,802,1176,1139,1695,568
2502,10,2157,1087,1144,1457,1359,2277,681
3089,11,2870,1331,1145,1908,2200,2277,791
3858,12,2968,1471,1551,2078,2200,5232,1071
4636,13,4360,2091,1960,3675,2700,6391,1549
5883,14,6141,2819,2642,4585,3028,7798,1682
7375,15,8914,3409,2716,5795,4075,9942,2044
9172,16,14153,4043,4014,7272,5294,11748,2364
10149,17,19479,4757,5067,9257,6575,13910,2810
12462,18,25818,5655,5745,12327,7474,17963,3143
15113,19,33756,6320,6726,15320,8795,20410,3640
17660,20,43845,7448,8164,19848,9877,25374,3984
21157,21,54108,8591,9640,22213,10897,28768,4361
24747,22,66044,10190,11812,24873,11811,35136,4559
27980,23,84080,11778,14745,29056,12928,39885,4862
31506,24,102254,12980,17312,32986,14076,49515,5116
35713,25,122054,14409,19780,37323,14829,57786,5330
41035,26,141194,15915,22453,43938,15922,65719,5550
47021,27,162690,17165,25481,50871,16605,73235,5687
53578,28,188701,18562,29865,57695,17768,80110,5797
59138,29,214194,19853,34173,62095,18827,87956,5895
63927,30,244593,21403,38689,66885,19606,95923,6010
69176,31,276535,22715,42477,71808,20505,104118,6108
74386,32,309699,23962,48436,77872,21100,112065,6215
80589,33,337573,25060,52279,84794,21657,119199,6303
86498,34,367210,26428,55949,91159,22253,126168,6315
92472,35,397992,27888,61474,96092,23280,131646,6351
97689,36,429686,29234,65872,100123,24051,136675,6415
101739,37,464442,30966,74605,103374,24551,141942,6440
105792,38,497943,32849,79874,107663,25107,148220,6462
110574,39,527958,34379,85206,113296,25415,153222,6522
115242,40,556517,36013,89570,118181,25688,158273,6568
119827,41,581810,37856,94845,122171,25936,163027,6610
124632,42,608845,39387,99483,124908,26336,166831,6623
128948,43,637974,41357,104145,127854,26732,170099,6645
132547,44,669272,43220,109769,130072,27078,172541,6652
135586,45,701996,44844,115314,131359,27404,177644,6662
139422,46,730317,46263,121172,134753,27740,184948,6677
143626,47,756375,47850,125856,137698,27944,190839,6694
147577,48,783716,49482,130172,141397,28063,191726,6714
152271,49,809213,50948,134638,143342,28268,198674,6721
156363,50,837414,52641,139246,145184,28496,200210,6744
159516,51,871617,54215,144640,147065,28677,204178,6752
162488,52,907908,56171,149569,148291,28894,208389,6766
165155,53,940829,57749,154037,150648,29061,213024,6778
168941,54,968517,60309,158348,153129,29164,202990,6799
