"can","index","on","qc","ab","bc","ns","sk","nl","mb","nb"
116,1,59,74,56,53,51,52,67,64,51
156,2,79,94,74,64,68,66,82,72,66
198,3,103,121,97,73,73,72,102,96,68
257,4,145,139,119,73,90,86,120,103,70
341,5,177,181,146,103,110,95,135,127,81
441,6,189,219,195,186,122,104,148,167,91
597,7,214,628,226,231,127,134,152,182,95
727,8,258,1040,259,271,147,156,175,194,98
873,9,318,1339,301,348,173,176,183,203,101
1087,10,377,1629,358,424,193,184,195,204,103
1331,11,425,2021,419,424,207,193,203,217,105
1471,12,503,2498,486,472,236,206,217,221,108
2091,13,588,2840,542,617,262,220,226,224,111
2819,14,687,3430,621,659,293,231,228,230,112
3408,15,857,4162,661,725,310,249,232,242,112
4042,16,992,4611,690,792,342,253,236,242,114
4756,17,1143,5518,754,884,373,260,239,244,116
5654,18,1354,6101,871,884,407,271,241,244,116
6319,19,1704,6997,968,970,428,278,242,246,117
7446,20,1964,7944,1075,1013,445,285,244,250,117
8589,21,2849,8580,1181,1066,474,289,244,250,117
10188,22,3285,9340,1250,1121,517,298,247,253,118
11775,23,3683,10031,1348,1174,549,300,252,253,118
12977,24,4018,10912,1373,1203,579,301,256,254,118
14406,25,4438,11677,1423,1203,606,304,256,255,118
15912,26,4842,12292,1451,1266,649,305,256,257,118
17162,27,5388,12846,1500,1291,675,307,256,262,118
18559,28,5835,13557,1569,1336,721,313,256,263,118
19850,29,6394,14248,1651,1370,737,315,256,267,118
21400,30,6801,14860,1732,1410,772,316,256,271,118
22712,31,7290,15857,1870,1445,827,320,256,272,118
23959,32,7723,16798,1996,1445,850,326,257,272,118
25057,33,8217,17520,2158,1490,865,331,258,273,118
26425,34,8777,18354,2397,1517,873,341,258,275,118
27885,35,9299,19315,2562,1561,900,349,258,279,118
29231,36,9818,20121,2803,1575,915,353,258,279,118
30963,37,10444,20959,2908,1618,935,365,258,280,118
32846,38,11005,21832,3095,1647,947,366,259,280,118
34376,39,11536,22606,3401,1647,959,383,259,281,119
36010,40,12210,23259,3720,1699,963,389,259,283,120
37852,41,12702,24099,4017,1724,971,415,259,283,120
39383,42,13414,24969,4232,1795,985,421,259,284,120
41353,43,13991,25746,4475,1824,991,433,259,284,120
43216,44,14481,26589,4691,1853,998,467,260,287,120
44840,45,14909,27537,4850,1948,1007,487,260,289,120
46259,46,15396,28647,5165,1948,1008,512,260,289,120
47846,47,15852,29655,5355,1998,1011,531,260,289,120
49478,48,16310,31858,5573,2053,1018,544,260,289,120
50944,49,16773,32617,5669,2087,1019,553,260,289,120
52637,50,17164,33412,5762,2111,1020,564,260,289,120
54210,51,17716,34322,5836,2144,1024,568,260,289,120
56166,52,18154,35237,5893,2170,1026,573,260,290,120
57744,53,18397,36150,5963,2170,1034,577,260,290,120
60304,54,18945,36986,6017,2223,1037,582,260,290,120
61786,55,19325,37721,6098,2231,1040,590,260,290,121
63054,56,19774,38469,6157,2254,1043,591,260,292,121
64541,57,20255,39225,6253,2285,1044,592,260,292,121
66051,58,20685,39930,6300,2314,1045,592,260,292,121
67519,59,21005,40723,6345,2329,1046,599,260,292,121
68761,60,21320,41420,6407,2329,1047,620,260,292,122
69928,61,21682,42183,6457,2352,1048,622,260,292,123
71115,62,22026,42918,6514,2359,1049,627,260,294,126
72273,63,22383,43627,6586,2376,1050,630,260,294,128
73422,64,22741,44197,6643,2391,1052,632,260,294,129
74645,65,23134,44775,6682,2406,1053,634,261,295,132
75823,66,23507,45495,6715,2427,1055,634,261,295,132
77056,67,23837,46140,6734,2427,1055,636,261,297,133
78182,68,24145,46838,6767,2443,1056,637,261,298,135
79258,69,24647,47411,6799,2445,1056,639,261,298,136
80373,70,25086,47984,6817,2466,1057,643,261,300,136
81452,71,25490,48598,6859,2478,1057,644,261,300,136
82625,72,25987,49137,6878,2506,1058,645,261,300,137
83835,73,26457,49701,6900,2516,1058,645,261,300,146
85035,74,26795,50230,6925,2516,1058,646,261,300,147
85991,75,27214,50649,6954,2529,1058,647,261,300,151
87018,76,27540,51059,6978,2540,1059,648,261,300,153
87994,77,27858,51353,6992,2548,1059,649,261,301,154
88888,78,28241,51590,7010,2557,1060,649,261,303,157
89882,79,28612,51882,7044,2561,1061,653,261,304,157
90814,80,28939,52141,7057,2572,1061,655,261,304,160
91591,81,29311,52396,7076,2572,1061,657,261,304,163
92396,82,29775,52623,7091,2596,1061,659,261,306,163
93214,83,30188,52848,7098,2600,1061,662,261,308,163
93884,84,30540,53046,7138,2621,1061,663,261,311,163
94573,85,30883,53185,7138,2627,1061,664,261,313,164
95198,86,31299,53341,7202,2628,1061,680,261,313,164
95880,87,31550,53485,7229,2628,1061,680,261,314,164
96399,88,32023,53666,7276,2628,1061,689,261,314,165
97099,89,32335,53824,7316,2656,1061,703,261,315,165
97714,90,32614,53952,7346,2666,1061,711,261,316,165
98173,91,32873,54053,7383,2678,1061,721,261,318,165
98654,92,33110,54146,7433,2692,1061,740,261,322,165
99093,93,33322,54263,7447,2708,1061,741,261,322,165
99537,94,33568,54383,7482,2708,1061,752,261,324,165
99984,95,33743,54550,7530,2708,1061,756,261,325,165
100339,96,33950,54674,7579,2744,1061,759,261,325,165
100716,97,34140,54765,7625,2755,1061,771,261,325,165
101048,98,34336,54834,7673,2774,1061,777,261,325,165
101439,99,34524,54883,7704,2781,1062,778,261,325,165
101819,100,34733,54937,7736,2788,1063,779,261,325,165
102259,101,34914,55079,7781,2788,1064,785,261,325,165
102625,102,35071,55079,7825,2788,1064,785,261,325,165
102923,103,35295,55079,7851,2819,1064,795,261,325,165
103281,104,35533,55079,7888,2832,1064,796,261,325,166
103638,105,35734,55390,7957,2846,1065,796,261,325,166
