"province","health_region","date_death_report","deaths","cumulative_deaths"
"Ontario","Brant","08-03-2020",0,0
"Ontario","Brant","09-03-2020",0,0
"Ontario","Brant","10-03-2020",0,0
"Ontario","Brant","11-03-2020",0,0
"Ontario","Brant","12-03-2020",0,0
"Ontario","Brant","13-03-2020",0,0
"Ontario","Brant","14-03-2020",0,0
"Ontario","Brant","15-03-2020",0,0
"Ontario","Brant","16-03-2020",0,0
"Ontario","Brant","17-03-2020",0,0
"Ontario","Brant","18-03-2020",0,0
"Ontario","Brant","19-03-2020",0,0
"Ontario","Brant","20-03-2020",0,0
"Ontario","Brant","21-03-2020",0,0
"Ontario","Brant","22-03-2020",0,0
"Ontario","Brant","23-03-2020",0,0
"Ontario","Brant","24-03-2020",0,0
"Ontario","Brant","25-03-2020",0,0
"Ontario","Brant","26-03-2020",0,0
"Ontario","Brant","27-03-2020",0,0
"Ontario","Brant","28-03-2020",0,0
"Ontario","Brant","29-03-2020",0,0
"Ontario","Brant","30-03-2020",0,0
"Ontario","Brant","31-03-2020",0,0
"Ontario","Brant","01-04-2020",0,0
"Ontario","Brant","02-04-2020",1,1
"Ontario","Brant","03-04-2020",0,1
"Ontario","Brant","04-04-2020",0,1
"Ontario","Brant","05-04-2020",0,1
"Ontario","Brant","06-04-2020",0,1
"Ontario","Brant","07-04-2020",0,1
"Ontario","Brant","08-04-2020",0,1
"Ontario","Brant","09-04-2020",0,1
"Ontario","Brant","10-04-2020",0,1
"Ontario","Brant","11-04-2020",0,1
"Ontario","Brant","12-04-2020",0,1
"Ontario","Brant","13-04-2020",0,1
"Ontario","Brant","14-04-2020",0,1
"Ontario","Brant","15-04-2020",0,1
"Ontario","Brant","16-04-2020",0,1
"Ontario","Brant","17-04-2020",0,1
"Ontario","Brant","18-04-2020",2,3
"Ontario","Brant","19-04-2020",0,3
"Ontario","Brant","20-04-2020",0,3
"Ontario","Brant","21-04-2020",0,3
"Ontario","Brant","22-04-2020",0,3
"Ontario","Brant","23-04-2020",0,3
"Ontario","Brant","24-04-2020",0,3
"Ontario","Brant","25-04-2020",0,3
"Ontario","Brant","26-04-2020",0,3
"Ontario","Brant","27-04-2020",0,3
"Ontario","Brant","28-04-2020",0,3
"Ontario","Brant","29-04-2020",0,3
"Ontario","Brant","30-04-2020",0,3
"Ontario","Chatham-Kent","08-03-2020",0,0
"Ontario","Chatham-Kent","09-03-2020",0,0
"Ontario","Chatham-Kent","10-03-2020",0,0
"Ontario","Chatham-Kent","11-03-2020",0,0
"Ontario","Chatham-Kent","12-03-2020",0,0
"Ontario","Chatham-Kent","13-03-2020",0,0
"Ontario","Chatham-Kent","14-03-2020",0,0
"Ontario","Chatham-Kent","15-03-2020",0,0
"Ontario","Chatham-Kent","16-03-2020",0,0
"Ontario","Chatham-Kent","17-03-2020",0,0
"Ontario","Chatham-Kent","18-03-2020",0,0
"Ontario","Chatham-Kent","19-03-2020",0,0
"Ontario","Chatham-Kent","20-03-2020",0,0
"Ontario","Chatham-Kent","21-03-2020",0,0
"Ontario","Chatham-Kent","22-03-2020",0,0
"Ontario","Chatham-Kent","23-03-2020",0,0
"Ontario","Chatham-Kent","24-03-2020",0,0
"Ontario","Chatham-Kent","25-03-2020",0,0
"Ontario","Chatham-Kent","26-03-2020",0,0
"Ontario","Chatham-Kent","27-03-2020",0,0
"Ontario","Chatham-Kent","28-03-2020",0,0
"Ontario","Chatham-Kent","29-03-2020",0,0
"Ontario","Chatham-Kent","30-03-2020",0,0
"Ontario","Chatham-Kent","31-03-2020",0,0
"Ontario","Chatham-Kent","01-04-2020",0,0
"Ontario","Chatham-Kent","02-04-2020",0,0
"Ontario","Chatham-Kent","03-04-2020",0,0
"Ontario","Chatham-Kent","04-04-2020",1,1
"Ontario","Chatham-Kent","05-04-2020",0,1
"Ontario","Chatham-Kent","06-04-2020",0,1
"Ontario","Chatham-Kent","07-04-2020",0,1
"Ontario","Chatham-Kent","08-04-2020",0,1
"Ontario","Chatham-Kent","09-04-2020",0,1
"Ontario","Chatham-Kent","10-04-2020",0,1
"Ontario","Chatham-Kent","11-04-2020",0,1
"Ontario","Chatham-Kent","12-04-2020",0,1
"Ontario","Chatham-Kent","13-04-2020",0,1
"Ontario","Chatham-Kent","14-04-2020",0,1
"Ontario","Chatham-Kent","15-04-2020",0,1
"Ontario","Chatham-Kent","16-04-2020",0,1
"Ontario","Chatham-Kent","17-04-2020",0,1
"Ontario","Chatham-Kent","18-04-2020",0,1
"Ontario","Chatham-Kent","19-04-2020",0,1
"Ontario","Chatham-Kent","20-04-2020",0,1
"Ontario","Chatham-Kent","21-04-2020",0,1
"Ontario","Chatham-Kent","22-04-2020",0,1
"Ontario","Chatham-Kent","23-04-2020",0,1
"Ontario","Chatham-Kent","24-04-2020",0,1
"Ontario","Chatham-Kent","25-04-2020",0,1
"Ontario","Chatham-Kent","26-04-2020",0,1
"Ontario","Chatham-Kent","27-04-2020",0,1
"Ontario","Chatham-Kent","28-04-2020",0,1
"Ontario","Chatham-Kent","29-04-2020",0,1
"Ontario","Chatham-Kent","30-04-2020",0,1
"Ontario","Durham","08-03-2020",0,0
"Ontario","Durham","09-03-2020",0,0
"Ontario","Durham","10-03-2020",0,0
"Ontario","Durham","11-03-2020",0,0
"Ontario","Durham","12-03-2020",0,0
"Ontario","Durham","13-03-2020",0,0
"Ontario","Durham","14-03-2020",0,0
"Ontario","Durham","15-03-2020",0,0
"Ontario","Durham","16-03-2020",0,0
"Ontario","Durham","17-03-2020",0,0
"Ontario","Durham","18-03-2020",0,0
"Ontario","Durham","19-03-2020",0,0
"Ontario","Durham","20-03-2020",0,0
"Ontario","Durham","21-03-2020",0,0
"Ontario","Durham","22-03-2020",0,0
"Ontario","Durham","23-03-2020",0,0
"Ontario","Durham","24-03-2020",1,1
"Ontario","Durham","25-03-2020",0,1
"Ontario","Durham","26-03-2020",2,3
"Ontario","Durham","27-03-2020",0,3
"Ontario","Durham","28-03-2020",0,3
"Ontario","Durham","29-03-2020",0,3
"Ontario","Durham","30-03-2020",0,3
"Ontario","Durham","31-03-2020",2,5
"Ontario","Durham","01-04-2020",1,6
"Ontario","Durham","02-04-2020",3,9
"Ontario","Durham","03-04-2020",0,9
"Ontario","Durham","04-04-2020",4,13
"Ontario","Durham","05-04-2020",2,15
"Ontario","Durham","06-04-2020",1,16
"Ontario","Durham","07-04-2020",2,18
"Ontario","Durham","08-04-2020",0,18
"Ontario","Durham","09-04-2020",1,19
"Ontario","Durham","10-04-2020",1,20
"Ontario","Durham","11-04-2020",1,21
"Ontario","Durham","12-04-2020",0,21
"Ontario","Durham","13-04-2020",1,22
"Ontario","Durham","14-04-2020",8,30
"Ontario","Durham","15-04-2020",3,33
"Ontario","Durham","16-04-2020",4,37
"Ontario","Durham","17-04-2020",3,40
"Ontario","Durham","18-04-2020",7,47
"Ontario","Durham","19-04-2020",4,51
"Ontario","Durham","20-04-2020",8,59
"Ontario","Durham","21-04-2020",7,66
"Ontario","Durham","22-04-2020",8,74
"Ontario","Durham","23-04-2020",2,76
"Ontario","Durham","24-04-2020",5,81
"Ontario","Durham","25-04-2020",2,83
"Ontario","Durham","26-04-2020",10,93
"Ontario","Durham","27-04-2020",0,93
"Ontario","Durham","28-04-2020",7,100
"Ontario","Durham","29-04-2020",3,103
"Ontario","Durham","30-04-2020",4,107
"Ontario","Haldimand-Norfolk","08-03-2020",0,0
"Ontario","Haldimand-Norfolk","09-03-2020",0,0
"Ontario","Haldimand-Norfolk","10-03-2020",0,0
"Ontario","Haldimand-Norfolk","11-03-2020",0,0
"Ontario","Haldimand-Norfolk","12-03-2020",0,0
"Ontario","Haldimand-Norfolk","13-03-2020",0,0
"Ontario","Haldimand-Norfolk","14-03-2020",0,0
"Ontario","Haldimand-Norfolk","15-03-2020",0,0
"Ontario","Haldimand-Norfolk","16-03-2020",0,0
"Ontario","Haldimand-Norfolk","17-03-2020",0,0
"Ontario","Haldimand-Norfolk","18-03-2020",0,0
"Ontario","Haldimand-Norfolk","19-03-2020",0,0
"Ontario","Haldimand-Norfolk","20-03-2020",0,0
"Ontario","Haldimand-Norfolk","21-03-2020",0,0
"Ontario","Haldimand-Norfolk","22-03-2020",0,0
"Ontario","Haldimand-Norfolk","23-03-2020",0,0
"Ontario","Haldimand-Norfolk","24-03-2020",0,0
"Ontario","Haldimand-Norfolk","25-03-2020",0,0
"Ontario","Haldimand-Norfolk","26-03-2020",0,0
"Ontario","Haldimand-Norfolk","27-03-2020",0,0
"Ontario","Haldimand-Norfolk","28-03-2020",0,0
"Ontario","Haldimand-Norfolk","29-03-2020",0,0
"Ontario","Haldimand-Norfolk","30-03-2020",1,1
"Ontario","Haldimand-Norfolk","31-03-2020",1,2
"Ontario","Haldimand-Norfolk","01-04-2020",1,3
"Ontario","Haldimand-Norfolk","02-04-2020",1,4
"Ontario","Haldimand-Norfolk","03-04-2020",0,4
"Ontario","Haldimand-Norfolk","04-04-2020",1,5
"Ontario","Haldimand-Norfolk","05-04-2020",0,5
"Ontario","Haldimand-Norfolk","06-04-2020",0,5
"Ontario","Haldimand-Norfolk","07-04-2020",1,6
"Ontario","Haldimand-Norfolk","08-04-2020",0,6
"Ontario","Haldimand-Norfolk","09-04-2020",5,11
"Ontario","Haldimand-Norfolk","10-04-2020",0,11
"Ontario","Haldimand-Norfolk","11-04-2020",0,11
"Ontario","Haldimand-Norfolk","12-04-2020",2,13
"Ontario","Haldimand-Norfolk","13-04-2020",0,13
"Ontario","Haldimand-Norfolk","14-04-2020",4,17
