"country","date","cases"
"Germany","2020-01-22",0
"Germany","2020-01-23",0
"Germany","2020-01-24",0
"Germany","2020-01-25",0
"Germany","2020-01-26",0
"Germany","2020-01-27",1
"Germany","2020-01-28",3
"Germany","2020-01-29",0
"Germany","2020-01-30",0
"Germany","2020-01-31",1
"Germany","2020-02-01",3
"Germany","2020-02-02",2
"Germany","2020-02-03",2
"Germany","2020-02-04",0
"Germany","2020-02-05",0
"Germany","2020-02-06",0
"Germany","2020-02-07",1
"Germany","2020-02-08",0
"Germany","2020-02-09",1
"Germany","2020-02-10",0
"Germany","2020-02-11",2
"Germany","2020-02-12",0
"Germany","2020-02-13",0
"Germany","2020-02-14",0
"Germany","2020-02-15",0
"Germany","2020-02-16",0
"Germany","2020-02-17",0
"Germany","2020-02-18",0
"Germany","2020-02-19",0
"Germany","2020-02-20",0
"Germany","2020-02-21",0
"Germany","2020-02-22",0
"Germany","2020-02-23",0
"Germany","2020-02-24",0
"Germany","2020-02-25",1
"Germany","2020-02-26",10
"Germany","2020-02-27",19
"Germany","2020-02-28",2
"Germany","2020-02-29",31
"Germany","2020-03-01",51
"Germany","2020-03-02",29
"Germany","2020-03-03",37
"Germany","2020-03-04",66
"Germany","2020-03-05",220
"Germany","2020-03-06",188
"Germany","2020-03-07",129
"Germany","2020-03-08",241
"Germany","2020-03-09",136
"Germany","2020-03-10",281
"Germany","2020-03-11",451
"Germany","2020-03-12",170
"Germany","2020-03-13",1597
"Germany","2020-03-14",910
"Germany","2020-03-15",1210
"Germany","2020-03-16",1477
"Germany","2020-03-17",1985
"Germany","2020-03-18",3070
"Germany","2020-03-19",2993
"Germany","2020-03-20",4528
"Germany","2020-03-21",2365
"Germany","2020-03-22",2660
"Germany","2020-03-23",4183
"Germany","2020-03-24",3930
"Germany","2020-03-25",4337
"Germany","2020-03-26",6615
"Germany","2020-03-27",6933
"Germany","2020-03-28",6824
"Germany","2020-03-29",4400
"Germany","2020-03-30",4790
"Germany","2020-03-31",4923
"Germany","2020-04-01",6064
"Germany","2020-04-02",6922
"Germany","2020-04-03",6365
"Germany","2020-04-04",4933
"Germany","2020-04-05",4031
"Germany","2020-04-06",3251
"Germany","2020-04-07",4289
"Germany","2020-04-08",5633
"Germany","2020-04-09",4885
"Germany","2020-04-10",3990
"Germany","2020-04-11",2737
"Germany","2020-04-12",2946
"Germany","2020-04-13",2218
"Germany","2020-04-14",1287
"Germany","2020-04-15",3394
"Germany","2020-04-16",2945
"Germany","2020-04-17",3699
"Germany","2020-04-18",1945
"Germany","2020-04-19",1842
"Germany","2020-04-20",1881
"Germany","2020-04-21",1226
"Germany","2020-04-22",2357
"Germany","2020-04-23",2481
"Germany","2020-04-24",1870
"Germany","2020-04-25",1514
"Germany","2020-04-26",1257
"Germany","2020-04-27",988
"Germany","2020-04-28",1154
"Germany","2020-04-29",1627
"Germany","2020-04-30",1470
"Germany","2020-05-01",1068
"Germany","2020-05-02",890
"Germany","2020-05-03",697
"Germany","2020-05-04",488
"Germany","2020-05-05",855
"Germany","2020-05-06",1155
"Germany","2020-05-07",1268
"Germany","2020-05-08",1158
"Germany","2020-05-09",736
"Germany","2020-05-10",555
"Germany","2020-05-11",697
"Germany","2020-05-12",595
"Germany","2020-05-13",927
"Germany","2020-05-14",380
"Germany","2020-05-15",755
"Germany","2020-05-16",519
"Germany","2020-05-17",617
"Germany","2020-05-18",182
"Germany","2020-05-19",1227
"Germany","2020-05-20",695
"Germany","2020-05-21",548
"Germany","2020-05-22",689
"Germany","2020-05-23",276
"Germany","2020-05-24",342
"Germany","2020-05-25",272
"Germany","2020-05-26",600
"Germany","2020-05-27",324
"Germany","2020-05-28",672
"Germany","2020-05-29",726
"Germany","2020-05-30",267
"Germany","2020-05-31",221
"Germany","2020-06-01",184
"Germany","2020-06-02",285
"Germany","2020-06-03",242
"Germany","2020-06-04",351
"Germany","2020-06-05",452
"Germany","2020-06-06",526
"Germany","2020-06-07",300
"Germany","2020-06-08",359
"Germany","2020-06-09",397
"Germany","2020-06-10",16
"Germany","2020-06-11",169
"Germany","2020-06-12",535
"Germany","2020-06-13",41
"Germany","2020-06-14",251
"Germany","2020-06-15",164
"Germany","2020-06-16",570
"Germany","2020-06-17",352
"Germany","2020-06-18",1213
"Germany","2020-06-19",482
"Germany","2020-06-20",371
"Germany","2020-06-21",602
